"season","holiday","weathersit","hum","casual","registered","cnt","raw_temp","raw_felt_temp","raw_windspeed","weekend","hr_cat"
"1","0","2",0.71,16,54,70,8.92,5.78,16.75,1,"Midday"
"1","0","2",0.66,20,73,93,8.92,5.78,20.1,1,"Midday"
"1","0","2",0.66,11,64,75,8.92,7.1,8.71,1,"Midday"
"1","0","3",0.76,4,55,59,8.92,7.1,12.73,1,"Midday"
"1","0","3",0.81,19,55,74,7.98,5.78,10.72,1,"Midday"
"1","0","3",0.71,9,67,76,7.98,5.78,10.72,1,"Midday"
"1","0","1",0.57,7,58,65,7.98,5.78,12.73,1,"Afternoon Peak"
"1","0","2",0.46,10,43,53,8.92,5.78,22.11,1,"Afternoon Peak"
"1","0","1",0.42,1,29,30,7.04,3.14,30.15,1,"Afternoon Peak"
"1","0","1",0.39,5,17,22,6.1,1.82,24.12,1,"Evening"
"1","0","1",0.44,11,20,31,4.22,-0.819999999999999,22.11,1,"Evening"
"1","0","1",0.44,0,9,9,3.28,-2.14,20.1,1,"Evening"
"1","0","1",0.47,0,8,8,2.34,-0.819999999999999,10.72,1,"Evening"
"1","0","1",0.44,0,5,5,2.34,-2.8,24.12,0,"Late Night"
"1","0","1",0.44,0,2,2,1.4,-4.78,28.14,0,"Late Night"
"1","0","1",0.47,0,1,1,-0.48,-6.76,26.13,0,"Late Night"
"1","0","1",0.47,0,3,3,-0.48,-6.76,18.76,0,"Early Morning"
"1","0","1",0.5,0,30,30,-1.42,-8.74,26.13,0,"Early Morning"
"1","0","1",0.5,1,63,64,-1.42,-6.76,12.73,0,"Morning Peak"
"1","0","1",0.5,1,153,154,-1.42,-8.08,18.76,0,"Morning Peak"
"1","0","1",0.43,7,81,88,-0.48,-6.76,26.13,0,"Morning Peak"
"1","0","1",0.43,11,33,44,0.459999999999999,-4.78,16.75,0,"Midday"
"1","0","1",0.4,10,41,51,1.4,-4.12,22.11,0,"Midday"
"1","0","1",0.35,13,48,61,2.34,-2.14,20.1,0,"Midday"
"1","0","1",0.35,8,53,61,3.28,-2.14,18.76,0,"Midday"
"1","0","1",0.3,11,66,77,4.22,-0.16,18.76,0,"Midday"
"1","0","1",0.3,14,58,72,4.22,-0.16,16.75,0,"Midday"
"1","0","1",0.3,9,67,76,4.22,-0.16,16.75,0,"Midday"
"1","0","1",0.3,11,146,157,3.28,-0.819999999999999,14.74,0,"Afternoon Peak"
"1","0","1",0.32,9,148,157,3.28,1.16,6.7,0,"Afternoon Peak"
"1","0","1",0.47,8,102,110,1.4,1.16,0,0,"Afternoon Peak"
"1","0","1",0.47,3,49,52,1.4,-0.819999999999999,6.7,0,"Evening"
"1","0","1",0.64,3,49,52,0.459999999999999,-2.8,8.71,0,"Evening"
"1","0","1",0.69,0,20,20,-1.42,-6.1,8.71,0,"Evening"
"1","0","1",0.55,1,11,12,0.459999999999999,-2.14,6.7,0,"Evening"
"1","0","1",0.55,0,5,5,-0.48,-4.12,6.7,0,"Late Night"
"1","0","1",0.59,0,2,2,-0.48,-4.12,6.7,0,"Late Night"
"1","0","1",0.63,0,1,1,-1.42,-6.1,8.71,0,"Late Night"
"1","0","1",0.63,0,2,2,-1.42,-4.12,6.03,0,"Late Night"
"1","0","1",0.68,0,4,4,-2.36,-6.1,6.7,0,"Early Morning"
"1","0","1",0.74,0,36,36,-2.36,-6.1,6.7,0,"Early Morning"
"1","0","1",0.74,2,92,94,-2.36,-6.1,8.71,0,"Morning Peak"
"1","0","1",0.69,2,177,179,-1.42,-6.1,10.72,0,"Morning Peak"
"1","0","1",0.64,2,98,100,-0.48,-6.1,14.74,0,"Morning Peak"
"1","0","2",0.69,5,37,42,-0.48,-6.76,22.11,0,"Midday"
"1","0","1",0.51,7,50,57,2.34,-2.14,20.1,0,"Midday"
"1","0","1",0.51,12,66,78,2.34,-0.819999999999999,10.72,0,"Midday"
"1","0","1",0.56,18,79,97,3.28,-0.819999999999999,12.73,0,"Midday"
"1","0","1",0.52,9,54,63,4.22,1.16,14.74,0,"Midday"
"1","0","1",0.52,17,48,65,5.16,1.82,16.75,0,"Midday"
"1","0","1",0.49,15,68,83,6.1,3.14,16.75,0,"Midday"
"1","0","1",0.48,10,202,212,5.16,1.82,14.74,0,"Afternoon Peak"
"1","0","1",0.48,3,179,182,4.22,1.16,12.73,0,"Afternoon Peak"
"1","0","1",0.48,2,110,112,3.28,1.16,6.7,0,"Afternoon Peak"
"1","0","1",0.48,1,53,54,3.28,1.16,6.7,0,"Evening"
"1","0","1",0.64,0,48,48,2.34,1.82,0,0,"Evening"
"1","0","1",0.64,1,34,35,2.34,1.16,6.03,0,"Evening"
"1","0","1",0.69,2,9,11,1.4,-0.819999999999999,6.03,0,"Evening"
"1","0","1",0.64,0,6,6,1.4,1.16,0,0,"Late Night"
"1","0","1",0.74,0,6,6,-0.48,-2.8,6.03,0,"Late Night"
"1","0","1",0.74,0,2,2,-0.48,-2.8,6.03,0,"Late Night"
"1","0","1",0.48,0,2,2,3.28,-0.819999999999999,14.74,0,"Late Night"
"1","0","1",0.47,0,3,3,2.34,-0.819999999999999,10.72,0,"Early Morning"
"1","0","1",0.47,0,33,33,1.4,-2.8,14.74,0,"Early Morning"
"1","0","1",0.43,1,87,88,0.459999999999999,-4.12,12.73,0,"Morning Peak"
"1","0","1",0.4,3,192,195,1.4,-4.12,20.1,0,"Morning Peak"
"1","0","1",0.37,6,109,115,2.34,-2.8,22.11,0,"Morning Peak"
"1","0","1",0.37,4,53,57,2.34,-2.8,22.11,0,"Midday"
"1","0","1",0.33,12,34,46,4.22,-0.819999999999999,22.11,0,"Midday"
"1","0","1",0.33,5,74,79,4.22,-0.819999999999999,22.11,0,"Midday"
"1","0","1",0.3,6,65,71,5.16,1.16,20.1,0,"Midday"
"1","0","1",0.28,10,52,62,6.1,3.14,12.73,0,"Midday"
"1","0","1",0.28,7,55,62,6.1,3.14,12.73,0,"Midday"
"1","0","1",0.28,4,85,89,6.1,5.12,6.03,0,"Midday"
"1","0","1",0.38,4,186,190,3.28,-0.819999999999999,12.73,0,"Afternoon Peak"
"1","0","1",0.38,3,166,169,3.28,-0.16,8.71,0,"Afternoon Peak"
"1","0","1",0.38,5,127,132,3.28,1.16,6.7,0,"Afternoon Peak"
"1","0","1",0.47,7,82,89,2.34,-0.819999999999999,10.72,0,"Evening"
"1","0","1",0.51,3,40,43,1.4,-2.8,12.73,0,"Evening"
"1","0","1",0.55,1,41,42,0.459999999999999,-2.8,8.71,0,"Evening"
"1","0","1",0.47,1,18,19,1.4,1.16,0,0,"Evening"
"1","0","1",0.55,0,11,11,0.459999999999999,-0.16,0,0,"Late Night"
"1","0","1",0.64,0,4,4,-0.48,-0.819999999999999,0,0,"Late Night"
"1","0","1",0.64,0,2,2,-0.48,-0.819999999999999,0,0,"Late Night"
"1","0","2",0.64,0,1,1,-0.48,-2.8,6.03,0,"Late Night"
"1","0","2",0.69,0,4,4,-1.42,-4.12,6.03,0,"Early Morning"
"1","0","2",0.63,0,36,36,-1.42,-4.78,6.7,0,"Early Morning"
"1","0","2",0.59,0,95,95,-0.48,-0.819999999999999,0,0,"Morning Peak"
"1","0","1",0.59,3,216,219,-0.48,-0.819999999999999,0,0,"Morning Peak"
"1","0","2",0.51,6,116,122,0.459999999999999,-0.16,0,0,"Morning Peak"
"1","0","1",0.47,3,42,45,1.4,1.16,0,0,"Midday"
"1","0","1",0.44,2,57,59,2.34,1.16,6.03,0,"Midday"
"1","0","1",0.35,6,78,84,4.22,3.14,0,0,"Midday"
"1","0","1",0.35,12,55,67,4.22,1.82,6.7,0,"Midday"
"1","0","1",0.36,11,59,70,5.16,1.82,10.72,0,"Midday"
"1","0","1",0.36,8,54,62,5.16,1.82,0,0,"Midday"
"1","0","1",0.38,12,74,86,4.22,1.16,10.72,0,"Midday"
"1","0","1",0.51,9,163,172,2.34,-0.819999999999999,10.72,0,"Afternoon Peak"
"1","0","1",0.51,5,158,163,2.34,-0.819999999999999,8.71,0,"Afternoon Peak"
"1","0","1",0.55,3,109,112,2.34,1.16,6.03,0,"Afternoon Peak"
"1","0","1",0.51,3,66,69,1.4,-2.14,10.72,0,"Evening"
"1","0","2",0.55,0,48,48,2.34,-2.14,14.74,0,"Evening"
"1","0","2",0.51,1,51,52,2.34,-2.14,18.76,0,"Evening"
"1","0","2",0.59,4,19,23,1.4,-2.8,12.73,0,"Evening"
"1","0","2",0.64,4,13,17,1.4,-2.8,12.73,0,"Late Night"
"1","0","2",0.69,2,5,7,1.4,-2.8,14.74,0,"Late Night"
"1","0","2",0.69,0,1,1,1.4,-2.8,14.74,0,"Late Night"
"1","0","2",0.69,0,1,1,1.4,-2.14,8.71,0,"Late Night"
"1","0","3",0.55,0,5,5,2.34,1.82,0,0,"Early Morning"
"1","0","2",0.69,8,26,34,1.4,1.16,0,0,"Early Morning"
"1","0","1",0.69,8,76,84,1.4,-2.14,8.71,0,"Morning Peak"
"1","0","1",0.51,20,190,210,1.4,-2.8,16.75,0,"Morning Peak"
"1","0","1",0.47,9,125,134,1.4,-4.12,20.1,0,"Morning Peak"
"1","0","1",0.37,16,47,63,2.34,-2.8,22.11,0,"Midday"
"1","0","2",0.4,19,48,67,1.4,-2.8,14.74,0,"Midday"
"1","0","2",0.37,9,50,59,1.4,-2.8,16.75,0,"Midday"
"1","0","2",0.37,9,64,73,1.4,-4.12,18.76,0,"Midday"
"1","0","2",0.4,7,43,50,1.4,-2.8,16.75,0,"Midday"
"1","0","2",0.37,9,63,72,1.4,-2.14,10.72,0,"Midday"
"1","0","2",0.37,5,82,87,1.4,-2.14,10.72,0,"Midday"
"1","0","2",0.37,9,178,187,1.4,1.16,0,0,"Afternoon Peak"
"1","0","1",0.4,7,116,123,1.4,-0.819999999999999,6.03,0,"Afternoon Peak"
"1","0","1",0.55,3,92,95,-0.48,-2.8,6.03,0,"Afternoon Peak"
"1","0","1",0.47,1,50,51,0.459999999999999,-2.14,6.7,0,"Evening"
"1","0","1",0.47,0,39,39,0.459999999999999,-2.8,8.71,0,"Evening"
"1","0","2",0.43,2,34,36,0.459999999999999,-2.8,10.72,0,"Evening"
"1","0","2",0.51,1,14,15,0.459999999999999,-2.8,10.72,0,"Evening"
"1","0","2",0.51,1,24,25,0.459999999999999,-2.8,10.72,1,"Late Night"
"1","0","2",0.55,1,15,16,0.459999999999999,-2.14,6.03,1,"Late Night"
"1","0","2",0.55,3,13,16,0.459999999999999,-0.16,0,1,"Late Night"
"1","0","3",0.55,0,7,7,0.459999999999999,-2.8,10.72,1,"Late Night"
"1","0","3",0.55,0,1,1,0.459999999999999,-2.8,10.72,1,"Late Night"
"1","0","2",0.74,0,5,5,-0.48,-4.78,10.72,1,"Early Morning"
"1","0","2",0.74,0,2,2,-0.48,-4.78,10.72,1,"Early Morning"
"1","0","2",0.74,1,8,9,-0.48,-4.12,6.7,1,"Morning Peak"
"1","0","3",0.93,0,15,15,-0.48,-4.12,6.7,1,"Morning Peak"
"1","0","3",0.93,0,20,20,-0.48,-4.12,6.7,1,"Morning Peak"
"1","0","2",0.8,5,56,61,0.459999999999999,-2.8,10.72,1,"Midday"
"1","0","2",0.69,2,60,62,1.4,-4.12,26.13,1,"Midday"
"1","0","2",0.59,8,90,98,1.4,-4.12,24.12,1,"Midday"
"1","0","1",0.44,7,95,102,1.4,-4.12,22.11,1,"Midday"
"1","0","1",0.32,12,83,95,1.4,-4.78,32.83,1,"Midday"
"1","0","1",0.32,5,69,74,1.4,-4.78,30.15,1,"Midday"
"1","0","1",0.29,8,68,76,0.459999999999999,-6.76,30.15,1,"Midday"
"1","0","1",0.37,5,64,69,-0.48,-8.08,36.85,1,"Afternoon Peak"
"1","0","1",0.39,3,52,55,-1.42,-8.08,20.1,1,"Afternoon Peak"
"1","0","1",0.36,4,26,30,-1.42,-8.08,16.75,1,"Afternoon Peak"
"1","0","1",0.36,0,28,28,-2.36,-8.08,16.75,1,"Evening"
"1","0","1",0.39,2,35,37,-2.36,-8.74,24.12,1,"Evening"
"1","0","1",0.36,1,33,34,-2.36,-8.74,26.13,1,"Evening"
"1","0","1",0.39,0,22,22,-3.3,-12.04,30.15,1,"Evening"
"1","0","1",0.42,1,24,25,-3.3,-10.72,26.13,1,"Late Night"
"1","0","1",0.42,0,12,12,-3.3,-12.04,30.82,1,"Late Night"
"1","0","1",0.46,0,11,11,-3.3,-12.04,30.82,1,"Late Night"
"1","0","1",0.46,0,4,4,-3.3,-10.72,28.14,1,"Late Night"
"1","0","1",0.53,0,1,1,-4.24,-10.06,12.73,1,"Late Night"
"1","0","1",0.53,0,1,1,-4.24,-10.06,12.73,1,"Early Morning"
"1","0","1",0.49,0,1,1,-3.3,-10.06,18.76,1,"Early Morning"
"1","0","1",0.53,1,5,6,-4.24,-10.06,12.73,1,"Morning Peak"
"1","0","1",0.49,0,10,10,-3.3,-10.06,18.76,1,"Morning Peak"
"1","0","1",0.46,0,19,19,-2.36,-10.72,34.84,1,"Morning Peak"
"1","0","1",0.43,0,49,49,-1.42,-8.74,26.13,1,"Midday"
"1","0","1",0.4,2,47,49,-0.48,-8.08,34.84,1,"Midday"
"1","0","1",0.37,4,79,83,0.459999999999999,-6.76,30.15,1,"Midday"
"1","0","1",0.34,6,69,75,1.4,-4.78,30.15,1,"Midday"
"1","0","1",0.32,8,64,72,2.34,-4.12,30.82,1,"Midday"
"1","0","1",0.35,5,77,82,2.34,-2.8,24.12,1,"Midday"
"1","0","1",0.34,13,79,92,1.4,-4.78,30.15,1,"Midday"
"1","0","1",0.37,3,59,62,0.459999999999999,-6.1,26.13,1,"Afternoon Peak"
"1","0","1",0.4,4,44,48,-0.48,-6.76,22.11,1,"Afternoon Peak"
"1","0","1",0.43,1,40,41,-0.48,-6.76,22.11,1,"Afternoon Peak"
"1","0","1",0.46,0,38,38,-1.42,-8.08,16.75,1,"Evening"
"1","0","1",0.46,1,19,20,-1.42,-8.74,28.14,1,"Evening"
"1","0","1",0.46,5,10,15,-1.42,-8.08,20.1,1,"Evening"
"1","0","1",0.5,0,6,6,-2.36,-6.76,12.73,1,"Evening"
"1","0","1",0.5,2,3,5,-2.36,-8.08,18.76,0,"Late Night"
"1","0","1",0.5,1,0,1,-2.36,-8.08,18.76,0,"Late Night"
"1","0","1",0.5,0,3,3,-2.36,-8.08,14.74,0,"Late Night"
"1","0","1",0.5,0,1,1,-2.36,-8.08,14.74,0,"Late Night"
"1","0","1",0.54,1,2,3,-3.3,-8.08,8.71,0,"Late Night"
"1","0","1",0.54,0,3,3,-3.3,-8.74,16.75,0,"Early Morning"
"1","0","1",0.5,0,31,31,-2.36,-8.08,18.76,0,"Early Morning"
"1","0","1",0.5,2,75,77,-2.36,-8.08,14.74,0,"Morning Peak"
"1","0","2",0.5,4,184,188,-2.36,-8.08,18.76,0,"Morning Peak"
"1","0","2",0.5,2,92,94,-1.42,-8.08,16.75,0,"Morning Peak"
"1","0","2",0.5,0,31,31,-1.42,-8.08,20.1,0,"Midday"
"1","0","2",0.47,2,28,30,-0.48,-6.76,18.76,0,"Midday"
"1","0","2",0.4,5,47,52,1.4,-4.12,18.76,0,"Midday"
"1","0","2",0.4,4,50,54,1.4,-4.12,18.76,0,"Midday"
"1","0","2",0.4,0,47,47,1.4,-2.8,14.74,0,"Midday"
"1","0","2",0.4,2,43,45,1.4,-2.8,14.74,0,"Midday"
"1","0","1",0.4,4,70,74,1.4,-2.14,8.71,0,"Midday"
"1","0","1",0.4,4,174,178,1.4,-0.819999999999999,6.7,0,"Afternoon Peak"
"1","0","1",0.4,1,154,155,1.4,-2.8,14.74,0,"Afternoon Peak"
"1","0","1",0.47,3,92,95,-0.48,-4.78,10.72,0,"Afternoon Peak"
"1","0","1",0.5,1,73,74,-0.48,-4.78,10.72,0,"Evening"
"1","0","1",0.59,1,37,38,-1.42,-6.76,12.73,0,"Evening"
"1","0","1",0.59,2,22,24,-1.42,-6.1,10.72,0,"Evening"
"1","0","1",0.59,0,18,18,-1.42,-6.1,10.72,0,"Evening"
"1","0","1",0.59,2,10,12,-1.42,-4.78,6.7,0,"Late Night"
"1","0","1",0.59,0,3,3,-1.42,-6.1,10.72,0,"Late Night"
"1","0","2",0.55,0,3,3,-0.48,-6.1,12.73,0,"Late Night"
"1","0","2",0.55,0,6,6,-0.48,-4.12,8.71,0,"Early Morning"
"1","0","2",0.55,0,27,27,-0.48,-4.12,8.71,0,"Early Morning"
"1","0","2",0.55,2,97,99,-0.48,-0.819999999999999,0,0,"Morning Peak"
"1","0","2",0.51,3,214,217,0.459999999999999,-2.14,6.03,0,"Morning Peak"
"1","0","2",0.51,3,127,130,0.459999999999999,-2.8,10.72,0,"Morning Peak"
"1","0","2",0.51,3,51,54,1.4,-2.14,10.72,0,"Midday"
"1","0","2",0.47,4,31,35,1.4,-2.14,8.71,0,"Midday"
"1","0","2",0.51,2,55,57,1.4,-0.819999999999999,6.7,0,"Midday"
"1","0","2",0.59,6,46,52,1.4,-0.819999999999999,6.03,0,"Midday"
"1","0","2",0.59,3,60,63,1.4,-0.819999999999999,6.03,0,"Midday"
"1","0","2",0.8,2,45,47,-0.48,-2.8,6.03,0,"Midday"
"1","0","2",0.86,4,72,76,-0.48,-6.1,14.74,0,"Midday"
"1","0","2",0.86,6,130,136,-0.48,-6.1,14.74,0,"Afternoon Peak"
"1","0","3",0.93,1,94,95,-0.48,-4.12,6.7,0,"Afternoon Peak"
"1","0","3",0.93,0,51,51,-0.48,-0.819999999999999,0,0,"Afternoon Peak"
"1","0","3",0.93,0,32,32,-0.48,-6.1,12.73,0,"Evening"
"1","0","3",0.86,0,20,20,-0.48,-2.8,6.03,0,"Evening"
"1","0","3",0.93,1,28,29,-0.48,-4.12,6.7,0,"Evening"
"1","0","3",0.93,1,18,19,-0.48,-2.8,6.03,0,"Evening"
"1","0","2",0.86,0,7,7,-0.48,-2.8,6.03,0,"Late Night"
"1","0","2",0.86,0,6,6,-0.48,-4.12,6.7,0,"Late Night"
"1","0","1",0.86,0,1,1,-1.42,-6.1,8.71,0,"Late Night"
"1","0","1",0.86,0,5,5,-1.42,-6.1,10.72,0,"Early Morning"
"1","0","1",0.93,0,16,16,-2.36,-6.1,8.71,0,"Early Morning"
"1","0","1",0.69,0,54,54,-1.42,-6.1,8.71,0,"Morning Peak"
"1","0","1",0.59,3,125,128,-0.48,-4.78,10.72,0,"Morning Peak"
"1","0","1",0.59,3,78,81,-0.48,-6.76,22.11,0,"Morning Peak"
"1","0","1",0.55,0,39,39,0.459999999999999,-4.12,14.74,0,"Midday"
"1","0","1",0.51,3,32,35,1.4,-4.12,26.13,0,"Midday"
"1","0","1",0.47,3,52,55,1.4,-6.1,38.86,0,"Midday"
"1","0","1",0.44,0,49,49,2.34,-2.8,24.12,0,"Midday"
"1","0","1",0.47,0,44,44,1.4,-4.12,22.11,0,"Midday"
"1","0","1",0.47,1,48,49,1.4,-4.78,28.14,0,"Midday"
"1","0","1",0.44,5,63,68,2.34,-2.8,22.11,0,"Midday"
"1","0","1",0.47,0,139,139,1.4,-4.12,24.12,0,"Afternoon Peak"
"1","0","1",0.47,2,135,137,1.4,-6.1,34.84,0,"Afternoon Peak"
"1","0","1",0.47,1,82,83,0.459999999999999,-6.1,28.14,0,"Afternoon Peak"
"1","0","1",0.5,2,54,56,-0.48,-6.76,22.11,0,"Evening"
"1","0","1",0.55,0,57,57,-0.48,-6.76,22.11,0,"Evening"
"1","0","1",0.55,1,32,33,-0.48,-8.08,30.15,0,"Evening"
"1","0","1",0.59,1,19,20,-1.42,-8.74,28.14,0,"Evening"
"1","0","1",0.59,1,6,7,-1.42,-8.08,18.76,0,"Late Night"
"1","0","1",0.5,0,2,2,-1.42,-8.08,18.76,0,"Late Night"
"1","0","1",0.5,0,2,2,-1.42,-8.08,24.12,0,"Late Night"
"1","0","1",0.5,0,3,3,-1.42,-8.08,22.11,0,"Late Night"
"1","0","1",0.5,0,4,4,-1.42,-8.08,16.75,0,"Late Night"
"1","0","1",0.5,0,3,3,-1.42,-8.08,20.1,0,"Early Morning"
"1","0","1",0.54,0,28,28,-2.36,-6.1,8.71,0,"Early Morning"
"1","0","1",0.54,0,72,72,-2.36,-6.1,8.71,0,"Morning Peak"
"1","0","1",0.5,5,197,202,-1.42,-6.76,12.73,0,"Morning Peak"
"1","0","1",0.5,2,137,139,-1.42,-8.08,22.11,0,"Morning Peak"
"1","0","2",0.5,2,36,38,-0.48,-6.76,24.12,0,"Midday"
"1","0","2",0.44,4,33,37,1.4,-4.78,30.15,0,"Midday"
"1","0","1",0.44,3,49,52,1.4,-4.78,28.14,0,"Midday"
"1","0","1",0.41,2,81,83,2.34,-2.8,30.15,0,"Midday"
"1","0","1",0.41,3,39,42,2.34,-2.8,26.13,0,"Midday"
"1","0","1",0.38,5,55,60,3.28,-2.14,20.1,0,"Midday"
"1","0","1",0.38,2,76,78,3.28,-2.14,24.12,0,"Midday"
"1","0","1",0.4,4,158,162,1.4,-4.12,18.76,0,"Afternoon Peak"
"1","0","1",0.4,3,141,144,1.4,-4.12,22.11,0,"Afternoon Peak"
"1","0","1",0.47,1,98,99,-0.48,-6.1,16.75,0,"Afternoon Peak"
"1","0","1",0.47,0,64,64,-0.48,-6.1,14.74,0,"Evening"
"1","0","1",0.46,0,40,40,-1.42,-8.08,20.1,0,"Evening"
"1","0","1",0.46,0,30,30,-1.42,-8.08,22.11,0,"Evening"
"1","0","1",0.5,1,14,15,-2.36,-6.76,12.73,0,"Evening"
"1","0","1",0.5,0,14,14,-2.36,-6.76,12.73,0,"Late Night"
"1","0","1",0.54,0,5,5,-3.3,-8.08,10.72,0,"Late Night"
"1","0","1",0.54,0,1,1,-3.3,-8.08,8.71,0,"Late Night"
"1","0","1",0.54,0,1,1,-3.3,-6.76,6.7,0,"Late Night"
"1","0","1",0.54,0,8,8,-3.3,-6.76,6.03,0,"Early Morning"
"1","0","1",0.54,0,17,17,-3.3,-4.12,0,0,"Early Morning"
"1","0","1",0.74,0,70,70,-3.3,-8.08,10.72,0,"Morning Peak"
"1","0","1",0.68,2,156,158,-2.36,-4.78,0,0,"Morning Peak"
"1","0","1",0.69,0,117,117,-1.42,-6.1,8.71,0,"Morning Peak"
"1","0","1",0.55,4,40,44,0.459999999999999,-4.12,12.73,0,"Midday"
"1","0","1",0.51,6,47,53,0.459999999999999,-4.78,18.76,0,"Midday"
"1","0","1",0.44,2,59,61,1.4,-2.8,16.75,0,"Midday"
"1","0","1",0.37,4,73,77,2.34,-2.8,26.13,0,"Midday"
"1","0","1",0.41,5,59,64,2.34,-2.14,18.76,0,"Midday"
"1","0","1",0.38,9,59,68,3.28,-0.16,10.72,0,"Midday"
"1","0","1",0.41,3,87,90,2.34,-0.16,6.7,0,"Midday"
"1","0","1",0.41,4,155,159,2.34,-0.819999999999999,10.72,0,"Afternoon Peak"
"1","0","1",0.47,5,134,139,1.4,1.16,0,0,"Afternoon Peak"
"1","0","1",0.59,3,89,92,-0.48,-2.8,6.03,0,"Afternoon Peak"
"1","0","1",0.59,0,68,68,0.459999999999999,-0.16,0,0,"Evening"
"1","0","1",0.69,4,48,52,-0.48,-0.819999999999999,0,0,"Evening"
"1","0","2",0.69,2,34,36,-0.48,-0.819999999999999,0,0,"Evening"
"1","0","2",0.55,1,26,27,0.459999999999999,-0.16,0,0,"Evening"
"1","0","1",0.55,3,25,28,0.459999999999999,-0.16,0,1,"Late Night"
"1","0","2",0.59,2,18,20,-0.48,-2.8,6.03,1,"Late Night"
"1","0","2",0.59,0,12,12,-0.48,-2.8,6.03,1,"Late Night"
"1","0","2",0.59,1,7,8,-0.48,-0.819999999999999,0,1,"Late Night"
"1","0","2",0.59,0,5,5,-0.48,-0.819999999999999,0,1,"Late Night"
"1","0","1",0.59,0,1,1,-0.48,-0.819999999999999,0,1,"Early Morning"
"1","0","1",0.63,1,2,3,-1.42,-4.78,6.7,1,"Early Morning"
"1","0","1",0.63,1,9,10,-1.42,-2.14,0,1,"Morning Peak"
"1","0","1",0.63,1,22,23,-1.42,-6.1,8.71,1,"Morning Peak"
"1","0","1",0.64,2,31,33,-0.48,-4.12,8.71,1,"Morning Peak"
"1","0","1",0.59,2,57,59,0.459999999999999,-2.8,10.72,1,"Midday"
"1","0","1",0.55,18,54,72,1.4,-2.8,14.74,1,"Midday"
"1","0","1",0.48,15,74,89,3.28,-0.819999999999999,14.74,1,"Midday"
"1","0","1",0.38,21,80,101,5.16,1.16,20.1,1,"Midday"
"1","0","1",0.39,26,92,118,6.1,3.14,18.76,1,"Midday"
"1","0","2",0.36,21,108,129,7.04,5.12,12.73,1,"Midday"
"1","0","2",0.34,33,95,128,7.98,5.78,12.73,1,"Midday"
"1","0","2",0.36,29,54,83,7.04,3.8,18.76,1,"Afternoon Peak"
"1","0","2",0.45,15,69,84,6.1,3.14,16.75,1,"Afternoon Peak"
"1","0","2",0.39,14,60,74,7.04,3.8,16.75,1,"Afternoon Peak"
"1","0","2",0.39,6,35,41,7.04,3.8,16.75,1,"Evening"
"1","0","2",0.39,6,51,57,7.04,3.8,14.74,1,"Evening"
